gt_answer,pred,question,balanced,perfect_match,correct
car,motorbike,Which type of vehicle is to the right of the tent?,False,0,False
yes,yes,Is this a blue bus?,False,1,True
yes,yes,Is the food by the table sitting on the mat that is on the table?,False,1,True
no,yes,Do you see trays in this scene?,False,0,False
no,yes,Do you see buses to the right of the vehicle on the left?,False,0,False
no,yes,Are there any tables in the image that are silver?,False,0,False
no,yes,Are there bottles in this scene?,False,0,False
no,bed,Is the table to the right of a bed?,False,0,False
no,yes,Do you see cabinets?,False,0,False
no,,Are there any birds?,False,0,False
horse,cow,What is the animal in the large field?,True,0,False
no,yes,Do you see glasses to the left of the person that is wearing a ring?,False,0,False
yes,,Are there both a cucumber and a tomato in this image?,False,0,False
yes,yes,Is the woman leaning on the gray wall?,False,1,True
black,black,Does the coat look black or white?,False,1,True
yes,,Is the bottle to the right of the racket?,False,0,False
yes,,Are there any pillows or frisbees that are white?,False,0,False
air,air,What's the frisbee in?,False,1,True
yes,,Do you see men to the left of the boy that wears a cap?,False,0,False
giraffes,giraffes,What are the animals in front of the trees that look tall?,False,1,True
no,,Is there any plate in the image?,False,0,False
yes,yes,Does that sky look cloudy?,False,1,True
no,,Do you see a giraffe behind the fence made out of wire?,False,0,False
no,yes,Are there books to the right of the chair?,False,0,False
heater,,What is the white appliance?,True,0,False
left,,Is the woman to the left or to the right of the stove?,False,0,False
no,yes,Are there any surfboards?,False,0,False
no,yes,Are there either flags or figurines?,False,0,False
no,yes,Do you see donuts in this scene?,False,0,False
no,,Do you see helmets to the left of the man in the photograph?,False,0,False
white,,What is the color of the counter?,False,0,False
long,100ft,How long are the pipes?,True,0,False
yes,,Does the pecan that is to the left of the spoon seem to be brown?,False,0,False
no,yes,Are the books in the top of the image?,False,0,False
no,yes,Is the pine to the right of a helmet?,False,0,False
no,,Are there any parking meters on the stone sidewalk?,False,0,False
no,yes,Is there a train or a chair in the image?,False,0,False
yes,yes,Is there any table?,False,1,True
yes,,Are there men to the left of the device that is to the left of the person?,False,0,False
no,,Do you see any skateboards or hoses?,False,0,False
yes,yes,Is there either any cat or cow that is brown?,False,1,True
yes,,Are there any mirrors in this photo that are not yellow?,False,0,False
yes,yes,Is the knife on the left side of the photo?,False,1,True
yes,yes,Do you see houses to the right of the happy person?,False,1,True
no,,Are there any shelves?,False,0,False
no,yes,Is the elephant to the left of a fence?,False,0,False
yes,yes,Does the black device to the right of the computer mouse have large size?,False,1,True
brown,brown,Which color is the cow that is standing?,True,1,True
no,,Are there both a mirror and a sofa in this picture?,False,0,False
no,yes,Are there any helmets or bags?,False,0,False
chair,,What kind of furniture in the photo is wooden?,False,0,False
no,yes,Are there both benches and candles in the image?,False,0,False
no,yes,Do you see any girls to the left of the young boy?,False,0,False
chair,farmer,What type of furniture is to the left of the fruits the celery is to the right of?,False,0,False
yes,yes,Are there any passengers on the vehicle that the bus driver is driving?,False,1,True
no,yes,Is the coffee cup made of the same material as the table?,True,0,False
no,,Does the shirt look black?,False,0,False
yes,yes,Are there crowns to the left of the blue boat?,False,1,True
no,yes,Are there any buns on the brown paper?,False,0,False
no,yes,Is the fork on the right of the photo?,False,0,False
yes,,Is the fork silver?,False,0,False
no,,Are there either trash cans or safety vests in this photograph?,False,0,False
yes,,Are there any tables in the picture that are not blue?,False,0,False
no,,Are there parachutes in the photograph?,False,0,False
no,yes,Do you see men to the left of the black vehicle?,False,0,False
left,,Is the white sofa to the left or to the right of the chair on the right side?,False,0,False
no,,Do the tiles have black color?,False,0,False
bottle,banana,What do you think is she holding?,False,0,False
no,,Are the clouds in the sky both overcast and heavy?,False,0,False
no,yes,Is the mountain behind a truck?,True,0,False
yes,yes,Do you see either any laptops or books?,False,1,True
no,yes,Is the pastry on top of a mug?,False,0,False
