question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," soccer
 Context: a black motorcycle parked in a parking lot.
 Question: What sport can you use this for?
 Candidates: race (0.5339530181066084),motorcycle (0.40974219197095313),motocross (0.18935894667338782)
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," bush
 Context: a bathroom with a glass shower door next to a toilet.
 Question: Name the type of plant this is?
 Candidates: ivy (0.4105390410572313),fern (0.3975677677505985),house (0.06714619321163989)
 ",ivy,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," teddy bear
 Context: a boy in a red shirt with a stuffed animal in his backpack.
 Question: What toy is this?
 Candidates: stuffed animal (0.7710070718070249),cat (0.03456546082690888),animal (0.008467493642276029)
 ",teddy bear,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," brush hair
 Context: a man and a dog playing with a frisbee.
 Question: Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?
 Candidates: arm (0.32558386399235373),leg (0.07447149595630759),tail (0.051923108380760225)
 ",tail,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," travel
 Context: a man walking across a street holding a red bag.
 Question: What could this gentleman be carrying in that red bag?
 Candidates: cloth (0.5645344616734568),money (0.5419304241889493),purse (0.010931170364220045)
 ",money,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," wash hand
 Context: a white toilet sitting next to a bathroom sink.
 Question: Who leaves a toilet like this?
 Candidates: people (0.10273051397034107),kid (0.07458674115798072),plumber (0.048576730820624414)
 ",people,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," smoothie
 Context: a kitchen with a wooden counter top and three stools.
 Question: A center affixed unit like this one in a kitchen is called a what?
 Candidates: island (0.620876186372022),sink (0.06547956449480626),counter (0.018345277452044277)
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," fun
 Context: a group of people walking down a street.
 Question: Why might someone go to this place?
 Candidates: shop (0.29861023746006915),work (0.2453933532265688),travel (0.12255767983398778)
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," north pole
 Context: an orange flower in a metal vase on a blue background.
 Question: What does this grow from?
 Candidates: flower (0.5629435503365326),tree (0.5152501682907766),lily (0.10928745870931286)
 ",flower,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," hit ball
 Context: a baseball player holding a bat on a field.
 Question: What is that man doing with the bat?
 Candidates: hit (0.7161216945223945),hit ball (0.4934648569869822),swing (0.1460612844501124)
 ",hit ball,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
