question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," goggle
Context: A clock face sitting on top of a table next to a clock back.
 Question: What does the object on the left do?
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," open
Context: Two identical row boats side by side in water at dock.
 Question: What type of boats are these?
 ",ivy,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," kick flip
Context: A black and silver motorcycle next to a fence.
 Question: What brand is this bike?
 ",teddy bear,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," wipeout
Context: A couple of adults standing around with a child.
 Question: What is the profession of the older gentleman?
 ",paw,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," vegetarian
Context: A game of Frisbee between a man and a small dog.
 Question: What activities suggest that these children may be having field day at school?
 ",lunch,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," asian
Context: Three horses standing in a field by a water hole.
 Question: Name the place shown in this picture?
 ",guest,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," maple
Context: two public transit buses parked near one another 
 Question: What kind of buses are these?
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," float
Context: Four women compete in a doubles match of tennis in front of a crowd.
 Question: These players use tennis rackets to hit what?
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," cross country ski
Context: A variety of fruits and vegetables lying on a tabletop.
 Question: What kind of apples are shown?
 ",root,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," lion
Context: Cat lying on blue desk chair next to wooden table.
 Question: What is the cat lying on?
 ",swing,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," downtown
Context: A young man and woman who just got married
 Question: What emotion are the people in the photo experiencing towards each other?
 ",lake,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," monitor
Context: An old photo with a man on a boat in the water.
 Question: What type of boat is this?
 ",unknown,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," cupertino
Context: A doll and small toys in a doll house.
 Question: The horse seen here has a friend that is shaped like a stick of gum called what?
 ",relish,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," looney tune
Context: A pizza is cooking by a fire on some foil.
 Question: Which country did this food originate from?
 ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," sun
Context: A man wearing a headdress standing with a phone to his ear.
 Question: What is this man talking on?
 ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," once
Context: A couple of people riding a wave on top of surfboards.
 Question: Where is this?
 ",passenger,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," donut
Context: A man being shown a bottle of wine by a woman. 
 Question: What is usually found in these green bottles made with?
 ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
4575845,457584,In what year was this desert first introduced?," surf
Context: Man reading a children's book with a dog laying on a person's lap.
 Question: What does the animal eat?
 ",1880,1847|1847|1847|1847|1860|1860|1934|1934|1900s|1900s
4883775,488377,What is this surf trick called?," bunk
Context: Someone holding a tiny donut over the eye of a t-shirt graphic. 
 Question: What part of the body is this worn on?
 ",ride wave,ride|ride|ride|ride|tube ride|tube ride|ollie|ollie|wave runner|wave runner
3017535,301753,What do they call running around the bases on a single hit?," silver
Context: The living room is free from people, but the cat is waiting. 
 Question: What brand is the carpetting?
 ",run,homerun|homerun|homerun|homerun|homerun|homerun|home run|home run|home run|home run
1833195,183319,Why is this plugged in?," skate
Context: A group of people in front of an elephant.
 Question: What is an elephant trainer called?
 ",battery,charge|charge|charge|charge|to have power and work|to have power and work|power|power|outlet|outlet
3970635,397063,What is the shape?," warmth
Context: A man riding a skateboard down the middle of a street.
 Question: What company created the shoes the person is wearing?
 ",ring,circle|circle|circle|circle|circle|circle|round|round|round|round
4976605,497660,What is the horsepower of the truck pulling the load?," traffic jam
Context: A flat bread sandwich filled with cheese, tomato and green gel.
 Question: What type of oil was used if any?
 ",100,510|510|510|510|510|510|420|420|500|500
2357845,235784,What kind of skiing is this person engaged in?," fedora
Context: A bathroom scene with two bathtubs and a toilet. 
 Question: What type of bathroom is this?
 ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country
3190735,319073,What is the person in the photo wearing?," play game
Context: A healthy plate of seafood and vegetables for lunch.
 Question: What type of meat is on this plate?
 ",wetsuit,wetsuit|wetsuit|wetsuit|wetsuit|suit|suit|wet suit|wet suit|trunk|trunk
5144685,514468,What is the name of the board he is on?," transport luggage
Context: A Yahoo bus at a bus station  
 Question: What kind of company is advertised on the bus?
 ",surfboard,surf board|surf board|surf board|surf board|surfboard|surfboard|surfboard|surfboard|surf|surf
4371265,437126,Name the material used to make this car seat shown in this picture?," military base
Context: The sunflowers are in the small vase on the table. 
 Question: What flower is this?
 ",leather,cloth|cloth|cloth|cloth|nylon|nylon|polyester|polyester|leather|leather
5182875,518287,What part of the face is the toothbrush in?," stratus
Context: The horse is walking the beach by himself near the water.
 Question: What time of day is it?
 ",mouth,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|happy|happy
3804595,380459,What flavor is this pastry?," desert
Context: A piece of pizza with broccoli on it is sitting on a paper plate.
 Question: What ingredients were used to make this food?
 ",cheese,blueberry|blueberry|blueberry|blueberry|cream cheese|cream cheese|chocolate|chocolate|strawberry|strawberry
