answer,image_path,question,source_image_id,sample_dataset,sample_question_id
brown,CLEVR_train_013477.png,The large shiny ball is what color?,clevr-013477,clevr,
3,CLEVR_train_014746.png,How many objects are both to the right of the tiny metallic object and behind the tiny block?,clevr-014746,clevr,
cylinder,CLEVR_train_014965.png,The red matte object is what shape?,clevr-014965,clevr,
rubber,CLEVR_train_044655.png,There is a object that is right of the gray metal cube; what is its material?,clevr-044655,clevr,
green,CLEVR_train_056617.png,There is a shiny cylinder that is in front of the red rubber cylinder; what color is it?,clevr-056617,clevr,
cyan,CLEVR_train_010181.png,What color is the matte object that is behind the thing on the right side of the small object?,clevr-010181,clevr,
small,CLEVR_train_067320.png,How big is the matte object that is on the right side of the matte cylinder left of the cylinder that is on the right side of the small shiny block?,clevr-067320,clevr,
blue,CLEVR_train_001172.png,What color is the metal object on the left side of the cylinder in front of the large rubber thing that is on the right side of the small red block?,clevr-001172,clevr,
yellow,CLEVR_train_051202.png,There is a cylinder behind the tiny green block in front of the green matte sphere; what color is it?,clevr-051202,clevr,
yes,CLEVR_train_043837.png,Is there a purple metallic object that has the same size as the rubber object?,clevr-043837,clevr,
rubber,CLEVR_train_047813.png,There is a large cyan thing that is in front of the small matte thing behind the cylinder that is on the right side of the large cylinder; what is it made of?,clevr-047813,clevr,
no,CLEVR_train_053271.png,There is a green metallic thing; does it have the same shape as the red object in front of the cube?,clevr-053271,clevr,
no,CLEVR_train_032493.png,Are there more purple balls that are behind the large blue cube than large gray rubber spheres that are to the left of the small green thing?,clevr-032493,clevr,
no,CLEVR_train_027730.png,Does the big metallic cylinder have the same color as the large block?,clevr-027730,clevr,
yes,CLEVR_train_064406.png,Is the number of rubber objects that are behind the large green cylinder greater than the number of gray balls?,clevr-064406,clevr,
yes,CLEVR_train_014013.png,Is the shape of the small red matte object that is on the right side of the large cyan shiny sphere the same as the large object in front of the big cyan thing?,clevr-014013,clevr,
metal,CLEVR_train_022163.png,There is a green ball that is the same size as the purple ball; what material is it?,clevr-022163,clevr,
yes,CLEVR_train_018042.png,There is a big metallic sphere; does it have the same color as the small thing that is behind the purple object?,clevr-018042,clevr,
yes,CLEVR_train_048413.png,Is the large red object the same shape as the metal object?,clevr-048413,clevr,
rubber,CLEVR_train_038394.png,There is a gray object that is the same shape as the big brown rubber object; what is it made of?,clevr-038394,clevr,
yes,CLEVR_train_027452.png,Are any gray things visible?,clevr-027452,clevr,
no,CLEVR_train_017585.png,Is the number of big metallic balls in front of the small gray ball less than the number of purple shiny things that are on the left side of the large cube?,clevr-017585,clevr,
yes,CLEVR_train_050215.png,Are there any tiny cylinders that are to the left of the small rubber thing that is in front of the cyan thing?,clevr-050215,clevr,
large,CLEVR_train_034797.png,What size is the gray shiny cube?,clevr-034797,clevr,
yes,CLEVR_train_054068.png,Is there any other thing that has the same shape as the big yellow object?,clevr-054068,clevr,
sphere,CLEVR_train_001798.png,What shape is the large object that is both on the left side of the large matte object and right of the blue object?,clevr-001798,clevr,
yes,CLEVR_train_053502.png,Is the color of the big block the same as the small rubber block?,clevr-053502,clevr,
rubber,CLEVR_train_053344.png,There is a gray cylinder that is the same size as the yellow object; what is its material?,clevr-053344,clevr,
