question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," motorcross
 Context: a black motorcycle parked in a parking lot.
 Question: What sport can you use this for? ",motorcross,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," fern
 Context: a bathroom with a glass shower door next to a toilet.
 Question: Name the type of plant this is? ",fern,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," stuffed animal
 Context: a boy in a red shirt with a stuffed animal in his backpack.
 Question: What toy is this? ",": stuffed animal
 Context: a boy in a red shirt with a stuffed animal in his backpack",stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," torso
 Context: a man and a dog playing with a frisbee.
 Question: Which part of this animal would be in use of it was playing the game that is played with the items the man is holding? ",head,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," cloth
 Context: a man walking across a street holding a red bag.
 Question: What could this gentleman be carrying in that red bag? ",money,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," owner
 Context: a white toilet sitting next to a bathroom sink.
 Question: Who leaves a toilet like this? ",owner,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," countertop
 Context: a kitchen with a wooden counter top and three stools.
 Question: A center affixed unit like this one in a kitchen is called a what? ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," shop
 Context: a group of people walking down a street.
 Question: Why might someone go to this place? ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," flower
 Context: an orange flower in a metal vase on a blue background.
 Question: What does this grow from? ",ground,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," hit ball
 Context: a baseball player holding a bat on a field.
 Question: What is that man doing with the bat? ",swing,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," lake
 Context: a chair and umbrella on a beach with people in the water.
 Question: Is this at a salt water beach or a lake? ",lake,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," woman
 Context: a statue of two children sitting on a bench.
 Question: Who designed the statues? ",unknown,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," pepper
 Context: two hot dogs with toppings in a red basket.
 Question: What is the name of the items the hot dog are topped with? ",relish,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," work
 Context: a desk with a bunch of computers on it
 Question: What is this desk used for? ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," dirt bike
 Context: a couple of people on motor bikes on a road.
 Question: What type of bike is on the ground? ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," 747
 Context: a large passenger jet sitting on top of an airport tarmac.
 Question: What type of plane is that? ",747,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," girl
 Context: a bedroom with a bed, dresser, and stuffed animals.
 Question: Is this a room for a boy or girl? ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
4575845,457584,In what year was this desert first introduced?," 1979
 Context: a table topped with lots of donuts covered in frosting.
 Question: In what year was this desert first introduced? ",1939,1847|1847|1847|1847|1860|1860|1934|1934|1900s|1900s
4883775,488377,What is this surf trick called?," ride wave
 Context: a man riding a wave on top of a surfboard.
 Question: What is this surf trick called? ",ride wave,ride|ride|ride|ride|tube ride|tube ride|ollie|ollie|wave runner|wave runner
3017535,301753,What do they call running around the bases on a single hit?," home run
 Context: a batter, catcher and umpire during a baseball game.
 Question: What do they call running around the bases on a single hit? ",home run,homerun|homerun|homerun|homerun|homerun|homerun|home run|home run|home run|home run
1833195,183319,Why is this plugged in?," computer
 Context: a glass of wine sitting next to a laptop.
 Question: Why is this plugged in? ",battery,charge|charge|charge|charge|to have power and work|to have power and work|power|power|outlet|outlet
3970635,397063,What is the shape?," circle
 Context: a person holding a half eaten donut in their hand.
 Question: What is the shape? ",circle,circle|circle|circle|circle|circle|circle|round|round|round|round
4976605,497660,What is the horsepower of the truck pulling the load?," v8
 Context: a truck with a trailer on the back of it.
 Question: What is the horsepower of the truck pulling the load? ",400,510|510|510|510|510|510|420|420|500|500
2357845,235784,What kind of skiing is this person engaged in?," cross country
 Context: a woman standing on top of a snow covered slope.
 Question: What kind of skiing is this person engaged in? ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country
3190735,319073,What is the person in the photo wearing?," wetsuit
 Context: a man riding a wave on top of a surfboard.
 Question: What is the person in the photo wearing? ",wetsuit,wetsuit|wetsuit|wetsuit|wetsuit|suit|suit|wet suit|wet suit|trunk|trunk
5144685,514468,What is the name of the board he is on?," surf
 Context: a man on a surfboard in the water.
 Question: What is the name of the board he is on? ",surfboard,surf board|surf board|surf board|surf board|surfboard|surfboard|surfboard|surfboard|surf|surf
4371265,437126,Name the material used to make this car seat shown in this picture?," canvas
 Context: a cat sitting on top of a chair next to a window.
 Question: Name the material used to make this car seat shown in this picture? ",leather,cloth|cloth|cloth|cloth|nylon|nylon|polyester|polyester|leather|leather
5182875,518287,What part of the face is the toothbrush in?," chin
 Context: a toothbrush in a cup with a hole in it.
 Question: What part of the face is the toothbrush in? ",mouth,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|happy|happy
3804595,380459,What flavor is this pastry?," chocolate
 Context: a child's hand on a plate with a piece of pizza on it.
 Question: What flavor is this pastry? ",cheese,blueberry|blueberry|blueberry|blueberry|cream cheese|cream cheese|chocolate|chocolate|strawberry|strawberry
5002005,500200,What kind of container are the flowers in?," vase
 Context: a table topped with vases filled with flowers.
 Question: What kind of container are the flowers in? ",vase,vase|vase|vase|vase|vase|vase|trolley|trolley|pot|pot
3156685,315668,What country does this appear to be?," thailand
 Context: a man standing next to a herd of sheep.
 Question: What country does this appear to be? ",england,scotland|scotland|scotland|scotland|scotland|scotland|usa|usa|england|england
3736625,373662,Which of the foods in the picture is best for you to eat when you have a cold?," grilled cheese
 Context: a plate with a sandwich and a bowl of soup.
 Question: Which of the foods in the picture is best for you to eat when you have a cold? ",soup,soup|soup|soup|soup|soup|soup|chicken soup|chicken soup|fruit|fruit
4293695,429369,What do teenage pranksters do to this animal?," sniff
 Context: a herd of cattle grazing on a lush green field.
 Question: What do teenage pranksters do to this animal? ",pull tail,tip|tip|tip|tip|tip|tip|tip|tip|tip|tip
4273415,427341,How many watts is that microwave?," 60
 Context: a couple of people with umbrellas on their heads.
 Question: How many watts is that microwave? ",1000,800|800|800|800|120|120|1000|1000|100|100
