question,image_filename,ground_truth_ans,question_type,predicted_ans,correct,question_family_index
Are there any other things that are the same shape as the big metallic object?,CLEVR_val_000000.png,no,"scene,filter_size,filter_material,unique,same_shape,exist",No,1,39
Is there a big brown object of the same shape as the green thing?,CLEVR_val_000000.png,yes,"scene,filter_color,unique,same_shape,filter_size,filter_color,exist",No,1,47
What is the material of the big purple object?,CLEVR_val_000000.png,metal,"scene,filter_size,filter_color,unique,query_material",Glass,1,87
There is a small gray block; are there any spheres to the left of it?,CLEVR_val_000000.png,yes,"scene,filter_size,filter_color,filter_shape,unique,relate,filter_shape,exist",Yes,1,73
Is the purple thing the same shape as the large gray rubber thing?,CLEVR_val_000000.png,no,"scene,filter_color,unique,query_shape,scene,filter_size,filter_color,filter_material,unique,query_shape,equal_shape",No,1,12
What number of other objects are the same size as the purple shiny object?,CLEVR_val_000000.png,2,"scene,filter_color,filter_material,unique,same_size,count",0,1,40
How many objects are either metal things behind the small green rubber cylinder or small green rubber objects?,CLEVR_val_000000.png,2,"scene,filter_size,filter_color,filter_material,filter_shape,unique,relate,filter_material,scene,filter_size,filter_color,filter_material,union,count",2,1,70
What is the color of the large shiny sphere?,CLEVR_val_000000.png,purple,"scene,filter_size,filter_material,filter_shape,unique,query_color",Purple,1,88
What is the thing in front of the small metallic object made of?,CLEVR_val_000000.png,rubber,"scene,filter_size,filter_material,unique,relate,unique,query_material",Plastic,1,76
Does the green rubber object have the same shape as the gray thing that is on the right side of the big purple object?,CLEVR_val_000000.png,no,"scene,filter_color,filter_material,unique,query_shape,scene,filter_size,filter_color,unique,relate,filter_color,unique,query_shape,equal_shape",No,1,23
The other small shiny thing that is the same shape as the tiny yellow shiny object is what color?,CLEVR_val_000001.png,cyan,"scene,filter_size,filter_color,filter_material,unique,same_shape,filter_size,filter_material,unique,query_color",Blue,1,62
Is there anything else that has the same color as the large shiny cube?,CLEVR_val_000001.png,yes,"scene,filter_size,filter_material,filter_shape,unique,same_color,exist",No,1,37
How many metallic objects are big blue cubes or blue objects?,CLEVR_val_000001.png,2,"scene,filter_size,filter_color,filter_shape,scene,filter_color,union,filter_material,count",1,1,68
Is the color of the big matte object the same as the large metal cube?,CLEVR_val_000001.png,yes,"scene,filter_size,filter_material,unique,scene,filter_size,filter_material,filter_shape,unique,query_color,query_color,equal_color",No,1,10
Are there more shiny things that are to the left of the yellow rubber thing than small red spheres?,CLEVR_val_000001.png,yes,"scene,filter_color,filter_material,unique,relate,filter_material,count,scene,filter_size,filter_color,filter_shape,count,greater_than",No,1,5
What number of other things are the same material as the big gray cylinder?,CLEVR_val_000001.png,6,"scene,filter_size,filter_color,filter_shape,unique,same_material,count",4,1,42
How many large things are either cyan metallic cylinders or yellow blocks?,CLEVR_val_000001.png,0,"scene,filter_color,filter_material,filter_shape,scene,filter_color,filter_shape,union,filter_size,count",3,1,65
Is the material of the yellow block the same as the yellow cylinder?,CLEVR_val_000001.png,no,"scene,filter_color,filter_shape,unique,query_material,scene,filter_color,filter_shape,unique,query_material,equal_material",Yes,1,11
How many tiny yellow matte things are to the right of the purple thing in front of the small cyan shiny cube?,CLEVR_val_000001.png,0,"scene,filter_size,filter_color,filter_material,filter_shape,unique,relate,filter_color,unique,relate,filter_size,filter_color,filter_material,count",1,1,78
Is there another tiny green object that has the same shape as the green shiny object?,CLEVR_val_000001.png,no,"scene,filter_color,filter_material,unique,same_shape,filter_size,filter_color,exist",Yes,1,47
There is a yellow thing to the right of the rubber thing on the left side of the gray rubber cylinder; what is its material?,CLEVR_val_000002.png,metal,"scene,filter_color,filter_material,filter_shape,unique,relate,filter_material,unique,relate,filter_color,unique,query_material",Rubber,1,82
Is the color of the metal block that is right of the yellow rubber object the same as the large metal cylinder?,CLEVR_val_000002.png,yes,"scene,filter_color,filter_material,unique,relate,filter_material,filter_shape,unique,query_color,scene,filter_size,filter_material,filter_shape,unique,query_color,equal_color",No,1,16
Do the large metal sphere and the matte block have the same color?,CLEVR_val_000002.png,yes,"scene,filter_size,filter_material,filter_shape,unique,scene,filter_material,filter_shape,unique,query_color,query_color,equal_color",No,1,10
Are there any large matte blocks of the same color as the large metal ball?,CLEVR_val_000002.png,yes,"scene,filter_size,filter_material,filter_shape,unique,same_color,filter_size,filter_material,filter_shape,exist",Yes,1,45
Is the number of gray objects in front of the large yellow metal object greater than the number of yellow spheres to the right of the small metal sphere?,CLEVR_val_000002.png,yes,"scene,filter_size,filter_color,filter_material,unique,relate,filter_color,count,scene,filter_size,filter_material,filter_shape,unique,relate,filter_color,filter_shape,count,greater_than",No,1,8
Does the large yellow sphere have the same material as the sphere in front of the tiny blue object?,CLEVR_val_000002.png,yes,"scene,filter_size,filter_color,filter_shape,unique,query_material,scene,filter_size,filter_color,unique,relate,filter_shape,unique,query_material,equal_material",No,1,20
The tiny shiny cylinder has what color?,CLEVR_val_000002.png,brown,"scene,filter_size,filter_material,filter_shape,unique,query_color",Yellow,1,88
There is a big metallic thing left of the tiny green object; what is its shape?,CLEVR_val_000002.png,sphere,"scene,filter_size,filter_color,unique,relate,filter_size,filter_material,unique,query_shape",Square,1,77
What number of yellow objects are big matte cubes or small metal objects?,CLEVR_val_000002.png,1,"scene,filter_size,filter_material,filter_shape,scene,filter_size,filter_material,union,filter_color,count",1,1,66
There is another thing that is the same material as the gray object; what is its color?,CLEVR_val_000002.png,yellow,"scene,filter_color,unique,same_material,unique,query_color",Purple,1,59
Do the small shiny object and the matte cylinder have the same color?,CLEVR_val_000003.png,yes,"scene,filter_size,filter_material,unique,scene,filter_material,filter_shape,unique,query_color,query_color,equal_color",No,1,10
Are there any tiny matte spheres that have the same color as the big cylinder?,CLEVR_val_000003.png,no,"scene,filter_size,filter_shape,unique,same_color,filter_size,filter_material,filter_shape,exist",Yes,1,45
