question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," motorcross
Context: A man riding on the back of a motorcycle.
 Question: Can you name a sport this person could be a part of?
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," fern
Context: An unmade bed with blue and white sheets in daylight
 Question: What kind of plant is next to the sheets?
 ",fern,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," stuffed animal
Context: A brown teddy bear in a white wire rack.
 Question: What toy is this?
 ",stuffed animal,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," torso
Context: A dog and a man with a camera reflected in a sideview mirror.
 Question: To assess the health of the creature on the right you touch which of its body parts?
 ",leg,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," cloth
Context: a large briefcase statue in the middle of a mall
 Question: What can this hold?
 ",cloth,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," owner
Context: A white sink mounted to a green wall in a bathroom.
 Question: What does this bathroom say about its owner?
 ",man,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," countertop
Context: a little girl watching a woman make cupcakes in the kitchen
 Question: Is the man working on a kitchen island or a peninsula?
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," shop
Context: The businessman seated on a motorcycle is surrounded by cars and buses.
 Question: What is this man destination?
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," flower
Context: Pink flowers sitting in a vase in front of wood paneling
 Question: What is the primary habitat of this flower?
 ",seed,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," hit ball
Context: A baseball player holding a bat while standing next to home plate.
 Question: What was the man with stick trying to do?
 ",hit ball,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," lake
Context: A man is prepared to get on a wake board
 Question: Is this a lake or ocean?
 ",salt water,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," woman
Context: A woman flying a red kite on a brown field.
 Question: Who likely flew a similar device in lightning storms?
 ",unknown,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," pepper
Context: A hot dog inside of a bun next to a container of fries.
 Question: What are some popular toppings for hot dogs?
 ",relish,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," work
Context: A computer chair sitting in front of an office desk.
 Question: What is this room for?
 ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," dirt bike
Context: A person in gear riding a dirt bike in the mud
 Question: What model of bike is in the picture?
 ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," 747
Context: A Malaysian commercial plane parked in an airport. 
 Question: What type of plane is this?
 ",passenger,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," girl
Context: A teddy bear posed sitting in a toy castle.
 Question: Is this a girl's room or a boy's room?
 ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
4575845,457584,In what year was this desert first introduced?," 1979
Context: A man riding an orange mini bike on top of a grass field.
 Question: What year was this model of motorcycle introduced?
 ",1939,1847|1847|1847|1847|1860|1860|1934|1934|1900s|1900s
4883775,488377,What is this surf trick called?," ride wave
Context: A surfer loses control midair while hitting a wave. 
 Question: What move in surfing is this man performing?
 ",ride wave,ride|ride|ride|ride|tube ride|tube ride|ollie|ollie|wave runner|wave runner
3017535,301753,What do they call running around the bases on a single hit?," home run
Context: A group of people on a field playing baseball.
 Question: If this player proceeds to hit a ball close to the ground for a short distance that is called a what?
 ",home run,homerun|homerun|homerun|homerun|homerun|homerun|home run|home run|home run|home run
1833195,183319,Why is this plugged in?," computer
Context: Various computer products sitting out with instruction manuals around them. 
 Question: What can i use these for?
 ",battery,charge|charge|charge|charge|to have power and work|to have power and work|power|power|outlet|outlet
3970635,397063,What is the shape?," circle
Context: A crowd of people standing on a lush green park playing a game of frisbee.
 Question: What shape is the object being thrown?
 ",circle,circle|circle|circle|circle|circle|circle|round|round|round|round
4976605,497660,What is the horsepower of the truck pulling the load?," v8
Context: A city bus that's pulled into the bus terminal and is being unloaded. 
 Question: What motor powers this bus?
 ",100,510|510|510|510|510|510|420|420|500|500
2357845,235784,What kind of skiing is this person engaged in?," cross country
Context: Two skiers ski across a snow covered field.

 Question: What type of skiing is shown?
 ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country
3190735,319073,What is the person in the photo wearing?," wetsuit
Context: A man in a wetsuit rides a surfboard over a wave.
 Question: What is being worn here?
 ",wetsuit,wetsuit|wetsuit|wetsuit|wetsuit|suit|suit|wet suit|wet suit|trunk|trunk
5144685,514468,What is the name of the board he is on?," surf
Context: A young woman is riding a surfboard in the ocean.
 Question: What is the board called that the lady is on?
 ",surfboard,surf board|surf board|surf board|surf board|surfboard|surfboard|surfboard|surfboard|surf|surf
4371265,437126,Name the material used to make this car seat shown in this picture?," canvas
Context: a person holding a big pair of scissors next to some fabric 
 Question: Is the material tweed or canvas?
 ",leather,cloth|cloth|cloth|cloth|nylon|nylon|polyester|polyester|leather|leather
5182875,518287,What part of the face is the toothbrush in?," chin
Context: A hand putting toothpaste on a toothbrush on a counter.
 Question: What part of the body is this used on?
 ",mouth,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|happy|happy
3804595,380459,What flavor is this pastry?," chocolate
Context: Two cardboard boxes one with a white cake the other with chocolate
 Question: What flavors are these cakes?
 ",cheese,blueberry|blueberry|blueberry|blueberry|cream cheese|cream cheese|chocolate|chocolate|strawberry|strawberry
5002005,500200,What kind of container are the flowers in?," vase
Context: A woman at a table working on jars. 
 Question: What is this person making?
 ",vase,vase|vase|vase|vase|vase|vase|trolley|trolley|pot|pot
3156685,315668,What country does this appear to be?," thailand
Context: A herd of white cows graze in a pasture with rolling hills in the background.
 Question: What country is this?
 ",england,scotland|scotland|scotland|scotland|scotland|scotland|usa|usa|england|england
3736625,373662,Which of the foods in the picture is best for you to eat when you have a cold?," grilled cheese
Context: A couple of pieces of bread on top of a knife.
 Question: What type of sandwich is this?
 ",soup,soup|soup|soup|soup|soup|soup|chicken soup|chicken soup|fruit|fruit
4293695,429369,What do teenage pranksters do to this animal?," sniff
Context: An elephant pooping while pushing trunks with another elephant.
 Question: What is one thing these animals are rumored to never do?
 ",pull tail,tip|tip|tip|tip|tip|tip|tip|tip|tip|tip
4273415,427341,How many watts is that microwave?," 60
Context: Bed with black and white covers in front of wall-mounted television
 Question: How many inches is this tv display?
 ",1000,800|800|800|800|120|120|1000|1000|100|100
3938365,393836,What is this type of blanket called?," quilt
Context: a black dog is laying on a bed
 Question: What do you call the wall covering abve this bed?
 ",quilt,quilt|quilt|quilt|quilt|quilt|quilt|quilt|quilt|patchwork|patchwork
179845,17984,What south american country usually has this climate?," united state
Context: Various types of apples and other fruits at a market
 Question: What country is the largest exporter of this fruit?
 ",argentina,brazil|brazil|brazil|brazil|brazil|brazil|africa|africa|ecuador|ecuador
3268375,326837,What american restaurant features an open kitchen with visible cooking area such as this?," cafe
Context: A large sandwich on a plate with pickles
 Question: What is the largest us restaurant chain that sells this item?
 ",chili's,diner|diner|diner|diner|diner|diner|denny's|denny's|waffle house|waffle house
2780325,278032,What other big vehicle is often painted about the same shade as this vehicle?," train
Context: There are some red vehicles by each other.
 Question: What kind of vehicles are this photo?
 ",truck,firetruck|firetruck|firetruck|firetruck|firetruck|firetruck|firetruck|firetruck|fire truck|fire truck
1110325,111032,What brand is this wine?," white wine
Context: A man standing next to a woman holding a wine glass.
 Question: What type of wine is in the two glasses?
 ",becker vineyards,becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker vineyard|becker|becker
5096415,509641,What would happen if these items fall to the ground?," break
Context: Windshield with rock chip on roadway on partly cloudy day.
 Question: What happens when a pebble hits your windshield on the freeway?
 ",break,shatter|shatter|shatter|shatter|they would shatter|they would shatter|break|break|they would break|they would break
3413095,341309,What brand of suit is the man in the image wearing?," suit
Context: A man in suit smokes a cigarette outdoors.
 Question: What kind of outfit does the man have on?
 ",armani,brook brother|brook brother|brook brother|brook brother|gorgio armani|gorgio armani|name brand|name brand|gucchi|gucchi
1121605,112160,Where might i buy a print that resembles this photo?," amazon
Context: A brown and white dog sitting in a purple and white strip lawn chair.
 Question: Where can i buy that chair?
 ",walmart,gallery|gallery|gallery|gallery|store|store|target|target|walmart|walmart
2645405,264540,What are the rolled black food items called?," sushi
Context: A sushi food truck with hungry patrons waiting in line
 Question: What kind of truck is that and what is in the truck?
 ",sushi,sushi|sushi|sushi|sushi|sushi|sushi|sushi|sushi|sushi|sushi
1089825,108982,What type of bird is this?," cyanocitta cristata
Context: A bird is perched on a sill, looking in a window.
 Question: What kind of bird is this?
 ",bluebird,blue jay|blue jay|blue jay|blue jay|bluebird|bluebird|songbird|songbird|goldfinch|goldfinch
2929715,292971,How can you tell that the people are not upset?," camera
Context: A woman taking funny pictures with a keyboard.
 Question: What emotions are expressed by the girl?
 ",smile,they are smile|they are smile|they are smile|they are smile|smile|smile|smile|smile|smile|smile
1902045,190204,How fast is the vehicle pictured capable of reaching?," 80 mph
Context: A train pulling into a station driving under a bridge.
 Question: How fast is the vehicle pictured capable of reaching?
 ",200 mph,80 mph|80 mph|80 mph|80 mph|100 mph|100 mph|100 mph|100 mph|10mph|10mph
3774865,377486,Name the type of hat the man is wearing?," cowboy
Context: A baby boy standing in a room holding a baby doll.
 Question: Which group of people in history wore that type of hat?
 ",cowboy hat,cowboy|cowboy|cowboy|cowboy|sombrero|sombrero|sombrero|sombrero|stetson|stetson
1282805,128280,What sates are these grown in?," tree
Context: A bowl of oranges in the morning sun.
 Question: Where can this fruit be found?
 ",california,florida california|florida california|florida california|florida california|california|california|california|california|florida|florida
1318415,131841,How does the bread taste?," sweet
Context: A person holding up a gummy hot dog in their hand.
 Question: Is this item more likely to taste sweet or salty?
 ",sweet,good|good|good|good|like bread|like bread|sweet|sweet|delicious|delicious
1305165,130516,What is this type of mack truck used for?," haul
Context: A man standing on the back of a truck with a piece of equipment
 Question: What is this truck being used for?
 ",delivery,cement|cement|cement|cement|cement|cement|cement|cement|road work|road work
2845485,284548,What type of platform should this vehicle be on?," track
Context: Old locomotive steam engine, moving through rail yard
 Question: What does the train run on?
 ",track,track|track|track|track|track|track|railroad|railroad|rail|rail
5069455,506945,What is the term for the effect used in this photo?," sephia
Context: A car is parked near a wooden bench.
 Question: What type of lense was used to take this picture?
 ",sepia,fisheye|fisheye|fisheye|fisheye|reflection|reflection|zoom|zoom|wide angle|wide angle
4247445,424744,What is the small white outdoor house like building called?," hut
Context: A picture of a family on the beach with a trailer converted into a living area.
 Question: What kind of structure is that?
 ",gazebo,gazebo|gazebo|gazebo|gazebo|gazebo|gazebo|shed|shed|casida|casida
5681485,568148,What can the woman do with this toy?," throw
Context: A man with a Frisbee standing on a dirt road.
 Question: What is this man about to do?
 ",throw,throw it|throw it|throw it|throw it|throw it|throw it|throw it|throw it|throw|throw
857725,85772,Is this boy a professional player or still in high school?," amatuer
Context: A man riding a bike in front of a small blue house.
 Question: Is this a professional or amatuer cyclist?
 ",high school,high school|high school|high school|high school|high school|high school|high school|high school|school|school
1396845,139684,What is the decorative fabric on the floor called?," carpet
Context: A young child wearing a bib, putting something in his mouth.
 Question: What kind of carpet is the baby sitting on?
 ",carpet,rug|rug|rug|rug|rug|rug|rug|rug|carpet|carpet
4732085,473208,Is this in a home kitchen or commercial kitchen?," commercial
Context: A train car sitting on train tracks between metal platforms.
 Question: Is this used for public or commercial transportation?
 ",commercial,commercial|commercial|commercial|commercial|commercial|commercial|commercial|commercial|commercial|commercial
3030245,303024,Which type of helmet is used by the sport person shown in this picture?," baseball helmet
Context: A batter gettign ready to swing at a pitch while the crowd looks on.
 Question: What league of baseball is this?
 ",baseball helmet,batter|batter|batter|batter|bat helmet|bat helmet|bat helmet|bat helmet|batter helmet|batter helmet
5342525,534252,Which brand of slipper is shown in this picture?," boot
Context: a coupl of women are sitting by a bag
 Question: What kind of shoes are these women wearing?
 ",ugg,birkenstock|birkenstock|birkenstock|birkenstock|birkenstock|birkenstock|adidas|adidas|sandal|sandal
1649245,164924,Who directed the 2012 movie shown on the television in the picture?," dexter
Context: A man dressed like Darth Vader is standing in a white bathroom looking at himself in the mirror.
 Question: What was the first movie was the character in this image first featured?
 ",joss whedon,joss whedon|joss whedon|joss whedon|joss whedon|joss whedon|joss whedon|joss wedon|joss wedon|gunn|gunn
1197855,119785,What time of day is it?," even
Context: A hamburger sitting on top of a white plate.
 Question: At what time of day is the food depicted eaten?
 ",afternoon,noon|noon|noon|noon|afternoon|afternoon|night|night|lunch|lunch
511915,51191,Is this bathroom high or low end?," high end
Context: a couple of beds that are in a room
 Question: Is this a high price hotel room or a low budget room?
 ",high end,high|high|high|high|high|high|high end|high end|high end|high end
1943135,194313,Name one famous person whom also has a black and white one of these?," aspca
Context: Two people are running with a red kite
 Question: Who became famous by flying one of these in a lightning storm?
 ",michael jackson,taylor swift|taylor swift|taylor swift|taylor swift|russell brand|russell brand|hillary clinton|hillary clinton|ernest hemingway|ernest hemingway
3325125,332512,Which item in this room is usually to wash hands?," sink
Context: a bathroom with rocks and white tile and a sink and lights
 Question: Where could you wash your hands?
 ",sink,sink|sink|sink|sink|sink|sink|sink|sink|sink|sink
3763585,376358,What are the white objects on this animals head called?," horn
Context: A male elephant with tusks is standing in the field.
 Question: What highly valued product is created from tusks?
 ",horn,horn|horn|horn|horn|horn|horn|horn|horn|tusk|tusk
3959785,395978,Which airline has this insignia?," united
Context: a red, white and blue plane sits on the tarmac
 Question: What plane company has the logo on the picture?
 ",american,kuwait airway|kuwait airway|kuwait airway|kuwait airway|united|united|delta|delta|twa|twa
2162545,216254,When was the cola brand on the signs founded?," 1930
Context: A bench at a store in front of stacks of soda.
 Question: When was the soft drink company shown first created?
 ",1930,1892|1892|1892|1892|1851|1851|1870's|1870's|1800|1800
2913705,291370,What type of hat is this gentleman wearing?," bowler
Context: A black and white picture of a man with a derby hat.
 Question: What kind of hat is shown?
 ",top hat,top|top|top|top|top hat|top hat|top hat|top hat|tophat|tophat
3304055,330405,What character does this clock look like?," mickey mouse
Context: Stuffed toys are on a bed with Mickey Mouse sheets. 
 Question: Which famous character is represented on the sheets?
 ",mickey mouse,mickey mouse|mickey mouse|mickey mouse|mickey mouse|mickey mouse|mickey mouse|mouse|mouse|wall e|wall e
505145,50514,What fruit comes from these trees?," coconut
Context: A bowl of purple icecream, a cellphone, a key, a napkin on a table.
 Question: What fruit flavored ice cream can this be?
 ",coconut,coconut|coconut|coconut|coconut|coconut|coconut|pineapple|pineapple|banana|banana
5666345,566634,What type of skiing is being done here?," cross country
Context: THERE ARE TWO PEOPLE WHO ARE HIKING THE SNOW HILL
 Question: What type of skiing is going on here?
 ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|snow ski|snow ski
1569995,156999,What is this animal famously known for?," be tall
Context: a giraffe leaning over a little tiny tree 
 Question: What is this animal's popular characteristic?
 ",long neck,long neck|long neck|long neck|long neck|long neck|long neck|long neck|long neck|neck|neck
4535205,453520,Are these animals mammals or insects?," herbivorous
Context: An elephant pulling on leaves from trees 
 Question: Is this a mammal or an amphibian?
 ",mammal,mammal|mammal|mammal|mammal|mammal|mammal|mammal|mammal|animal|animal
3282845,328284,If it gets cold enough what will happen to the area being stepped over?," break
Context: Windshield with rock chip on roadway on partly cloudy day.
 Question: What happens when a pebble hits your windshield on the freeway?
 ",freeze,freeze|freeze|freeze|freeze|frozen|frozen|it will freeze over|it will freeze over|iced|iced
2335535,233553,How tall do these animals get?," 20 feet
Context: Three giraffes standing behind a fence at the zoo.
 Question: How tall are these giraffes?
 ",18 feet,20 feet|20 feet|20 feet|20 feet|8 feey|8 feey|10 feet|10 feet|12 ft|12 ft
3589765,358976,What is the breed of this cat?," calico
Context: A kitten is laying down on top of a shoe. 
 Question: Which breed of cat is this?
 ",calico,american shorthair|american shorthair|tabby|tabby|tortoise shell|tortoise shell|tabbie|tabbie|calico|calico
1050405,105040,Is this fruit or veggies?," veggies
Context: A kitchen counter top with lots of vegetables.
 Question: Is this veggies or fruit?
 ",veggies,veggies|veggies|veggies|veggies|vegetable|vegetable|veeggies|veeggies|veggie|veggie
5379826,537982,Why so many green vegetables?," market
Context: Some cloves of garlic in front of other vegetables.
 Question: Are these veggies home grown or bought?
 ",they are healthy,healthy|healthy|healthy|healthy|make salad|make salad|lot of vegetable are green|lot of vegetable are green|salad|salad
2352215,235221,What unpleasant emotional state does this weather phenomenon often cause?," overcast
Context: A group of people fly kites on an overcast day.
 Question: What type of clouds appear in the picture?
 ",fear,depression|depression|depression|depression|shock|shock|fright|fright|fear|fear
4854245,485424,What kind of oven is on the table?," convection
Context: A home kitchen with an oven on the left and a counter with small appliances on the right.
 Question: What kind of microwave is in the photo?
 ",convection,toaster|toaster|toaster|toaster|toaster|toaster|toaster oven|toaster oven|ge|ge
2864225,286422,How do people use this?," sail
Context: A woman riding on a sail boat in the ocean.
 Question: How does the man sustain winds?
 ",boat,sail|sail|sail|sail|sail|sail|sail|sail|to sail|to sail
5192715,519271,What small cloth is used to wipe the face or eating this meal?," napkin
Context: a group of kids sit at a table eating
 Question: What does the black object in the foreground of the picture usually hold?
 ",napkin,napkin|napkin|napkin|napkin|napkin|napkin|napkin|napkin|napkin|napkin
1449855,144985,What is this truck moving?," supply
Context: An airplane parked at gate B5 at an airport.
 Question: What is being loaded in the airplane?
 ",recall,furniture|furniture|furniture|furniture|furniture|furniture|good|good|cargo|cargo
5605665,560566,Which phase is that moon in?," 1st
Context: A little boy using safety scissors cutting a piece of paper.
 Question: What grade is he in?
 ",full,half|half|half|half|half|half|half moon|half moon|half moon|half moon
3430685,343068,What kind of animal is clearly displayed on the cover of this bed?," gazelle
Context: Three buffalo laying down in a grassy field
 Question: Buffalo bill is associated with which animal that could be considered an american equivalent to this one?
 ",deer,deer|deer|deer|deer|deer|deer|elk|elk|moose|moose
1527025,152702,What is a type of horseback sport?," polo
Context: People are riding horses along the beach together.
 Question: What is a competition for these animals called?
 ",horse race,polo|polo|polo|polo|race|race|race|race|ride|ride
1603935,160393,What item might be used to warm this item of furniture?," heater
Context: A laptop computer sitting on a bed showing the start screen.
 Question: What can be done to prevent this device from overheating?
 ",blanket,electric blanket|electric blanket|electric blanket|electric blanket|blanker|blanker|cloth dryer|cloth dryer|blanket|blanket
2597615,259761,What fills the balloons?," candle
Context: Several inflated kites in various animal shapes float in the air above dozens of spectators on a grassy field.
 Question: What chemical is in the cats that makes them fly?
 ",helium,helium|helium|helium|helium|helium|helium|helium|helium|helium|helium
