question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," motorcross
Context: A man riding on the back of a motorcycle.
 Question: Can you name a sport this person could be a part of?
 Candidates: race (0.9433832666066073),motocross (0.8010227360888075),dirt bike (0.6991264009932556),motorcross (0.24536046350867083),motorcycle (0.08452088313747981)
 ",motorcross,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," fern
Context: An unmade bed with blue and white sheets in daylight
 Question: What kind of plant is next to the sheets?
 Candidates: house (0.8975643017216218),indoor (0.7584509934388497),fern (0.6603698846229998),lily (0.42518249861357593),bamboo (0.07161613031733799)
 ",ivy,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," stuffed animal
Context: A brown teddy bear in a white wire rack.
 Question: What toy is this?
 Candidates: teddy bear (0.9791566137849969),stuffed animal (0.723978046445882),bear (0.06588571559842257),teddy (0.005907435829278867),stuffed (0.0038684298899656962)
 ",stuffed animal,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," torso
Context: A dog and a man with a camera reflected in a sideview mirror.
 Question: To assess the health of the creature on the right you touch which of its body parts?
 Candidates: nose (0.9272581428340206),arm (0.7211595612298166),hand (0.04039459495841191),leg (0.037106080263157815),stomach (0.02240595851411029)
 ",arm,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," cloth
Context: a large briefcase statue in the middle of a mall
 Question: What can this hold?
 Candidates: cloth (0.9864907473470713),money (0.8963216288205875),paper (0.7433033907119632),tie (0.03209737340801385),food (0.027399619052773733)
 ",cloth,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," owner
Context: A white sink mounted to a green wall in a bathroom.
 Question: What does this bathroom say about its owner?
 Candidates: clean (0.9854362117045965),male (0.9492860274215795),man (0.6729764998234085),owner (0.03816509157489975),people (0.029797945943017)
 ",people,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," countertop
Context: a little girl watching a woman make cupcakes in the kitchen
 Question: Is the man working on a kitchen island or a peninsula?
 Candidates: peninsula (0.08369462831630446),stove (0.03551449564109765),counter (0.020085997720569817),island (0.012046978678603165),oven (0.009659773794090942)
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," shop
Context: The businessman seated on a motorcycle is surrounded by cars and buses.
 Question: What is this man destination?
 Candidates: work (0.9945584260379773),office (0.834836950643547),business (0.08072911658248239),school (0.022279931587541393),unknown (0.008797996544037286)
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," flower
Context: Pink flowers sitting in a vase in front of wood paneling
 Question: What is the primary habitat of this flower?
 Candidates: garden (0.9770427409990894),dirt (0.8006278266102653),ground (0.6324840499787937),water (0.0711569366322549),tree (0.014464911480602916)
 ",flower,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," hit ball
Context: A baseball player holding a bat while standing next to home plate.
 Question: What was the man with stick trying to do?
 Candidates: hit ball (0.9714448518226418),hit (0.8996120899355369),swing (0.15375932510911516),bat (0.017840757326775987),homerun (0.009133047926569805)
 ",hit ball,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," lake
Context: A man is prepared to get on a wake board
 Question: Is this a lake or ocean?
 Candidates: lake (0.9978944941460486),ocean (0.1297952948109017),river (0.012986793473223616),canal (0.009392670066790499),sea (0.00931701266511887)
 ",both,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," woman
Context: A woman flying a red kite on a brown field.
 Question: Who likely flew a similar device in lightning storms?
 Candidates: benjamin franklin (0.9267970492959644),woman (0.86964478238021),ben franklin (0.8564770546325432),girl (0.03013383512553219),samuel fox (0.02693617158739904)
 ",woman,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," pepper
Context: A hot dog inside of a bun next to a container of fries.
 Question: What are some popular toppings for hot dogs?
 Candidates: ketchup (0.9866792525967417),onion (0.6807713711232951),chili (0.03064067231543846),green (0.024775090455277093),pepper (0.01579268955504679)
 ",pickle,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," work
Context: A computer chair sitting in front of an office desk.
 Question: What is this room for?
 Candidates: work (0.9844633771154288),office (0.9824093771599246),study (0.061885175833039194),cubicle (0.01070927612270305),computer (0.009653799869345829)
 ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," dirt bike
Context: A person in gear riding a dirt bike in the mud
 Question: What model of bike is in the picture?
 Candidates: dirt bike (0.990318831472778),dirt (0.7233624060803283),motocross (0.6850777601840782),bmx (0.3807491528818117),motorcross (0.1681799891958006)
 ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," 747
Context: A Malaysian commercial plane parked in an airport. 
 Question: What type of plane is this?
 Candidates: passenger (0.8501985254428907),commercial (0.8253300501441069),large (0.7056155575086754),747 (0.6747262696298927),boeing (0.09261858844828189)
 ",boeing 747,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," girl
Context: A teddy bear posed sitting in a toy castle.
 Question: Is this a girl's room or a boy's room?
 Candidates: boy (0.9855833334683184),girl (0.9018980652417169),both (0.05855447846890026), (0.004778112520648908),unknown (0.004125839091051036)
 ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
4575845,457584,In what year was this desert first introduced?," 1979
Context: A man riding an orange mini bike on top of a grass field.
 Question: What year was this model of motorcycle introduced?
 Candidates: 2000 (0.13534710620797094),1950 (0.10878760099802015),1970 (0.09944668143337505),1990 (0.07996017492921921),2010 (0.0545991043447684)
 ",1903,1847|1847|1847|1847|1860|1860|1934|1934|1900s|1900s
4883775,488377,What is this surf trick called?," ride wave
Context: A surfer loses control midair while hitting a wave. 
 Question: What move in surfing is this man performing?
 Candidates: flip (0.9161516922356249),jump (0.3861083720252413),kickflip (0.036073594815219365),kick flip (0.018103335948437497),ollie (0.01758065483381551)
 ",flip,ride|ride|ride|ride|tube ride|tube ride|ollie|ollie|wave runner|wave runner
3017535,301753,What do they call running around the bases on a single hit?," home run
Context: A group of people on a field playing baseball.
 Question: If this player proceeds to hit a ball close to the ground for a short distance that is called a what?
 Candidates: bunt (0.6342034210520813),home run (0.23885577088451249),homerun (0.15995832081204267),hit (0.12384761502457917),foul (0.0371802539619321)
 ",home run,homerun|homerun|homerun|homerun|homerun|homerun|home run|home run|home run|home run
1833195,183319,Why is this plugged in?," computer
Context: Various computer products sitting out with instruction manuals around them. 
 Question: What can i use these for?
 Candidates: work (0.933155543678375),computer (0.9079628563700888),compute (0.15673217279030424),type (0.10596714607380825),music (0.04071751296525049)
 ",computer,charge|charge|charge|charge|to have power and work|to have power and work|power|power|outlet|outlet
3970635,397063,What is the shape?," circle
Context: A crowd of people standing on a lush green park playing a game of frisbee.
 Question: What shape is the object being thrown?
 Candidates: round (0.9778282015796979),circle (0.7395323590767924),disc (0.027272744697375274),frisbee (0.00965205854370375),nylon (0.002582598660943461)
 ",circle,circle|circle|circle|circle|circle|circle|round|round|round|round
4976605,497660,What is the horsepower of the truck pulling the load?," v8
Context: A city bus that's pulled into the bus terminal and is being unloaded. 
 Question: What motor powers this bus?
 Candidates: diesel (0.969782422754932),electric (0.6092758975128982),gas (0.1013241048818511),electricity (0.027222303998845787),bus (0.02159638258577279)
 ",50,510|510|510|510|510|510|420|420|500|500
2357845,235784,What kind of skiing is this person engaged in?," cross country
Context: Two skiers ski across a snow covered field.

 Question: What type of skiing is shown?
 Candidates: cross country (0.9990647567621769),regular (0.5383081796287331),downhill (0.05172350284203392),cross (0.03718182441179678),normal (0.030442385026416607)
 ",cross country,cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country|cross country
3190735,319073,What is the person in the photo wearing?," wetsuit
Context: A man in a wetsuit rides a surfboard over a wave.
 Question: What is being worn here?
 Candidates: wetsuit (0.9972458687587277),wet suit (0.7284989297810145),swimsuit (0.033045219378314894),bath suit (0.02194320791513497),wetsuits (0.00960658004902244)
 ",wetsuit,wetsuit|wetsuit|wetsuit|wetsuit|suit|suit|wet suit|wet suit|trunk|trunk
5144685,514468,What is the name of the board he is on?," surf
Context: A young woman is riding a surfboard in the ocean.
 Question: What is the board called that the lady is on?
 Candidates: surf (0.9657504948804378),surfboard (0.9654584872658117),surf board (0.6560430823723008),boogie board (0.019464527446549668),longboard (0.015101714626440717)
 ",surf board,surf board|surf board|surf board|surf board|surfboard|surfboard|surfboard|surfboard|surf|surf
4371265,437126,Name the material used to make this car seat shown in this picture?," canvas
Context: a person holding a big pair of scissors next to some fabric 
 Question: Is the material tweed or canvas?
 Candidates: canvas (0.7604719229537515),polyester (0.14745972362220885),suede (0.07166784025092204),nylon (0.061289681784099215),cloth (0.04221658458847009)
 ",canvas,cloth|cloth|cloth|cloth|nylon|nylon|polyester|polyester|leather|leather
5182875,518287,What part of the face is the toothbrush in?," chin
Context: A hand putting toothpaste on a toothbrush on a counter.
 Question: What part of the body is this used on?
 Candidates: teeth (0.9878153289714666),brush teeth (0.028222948753329716),muscle (0.01771690372998244),clean teeth (0.011591815227042144),mouth (0.007534276442178049)
 ",mouth,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|happy|happy
3804595,380459,What flavor is this pastry?," chocolate
Context: Two cardboard boxes one with a white cake the other with chocolate
 Question: What flavors are these cakes?
 Candidates: chocolate (0.9075520237925034),vanilla (0.6890397843131169),sweet (0.021533947133332235),birthday (0.009655883487001027),fondant (0.0049420426831037825)
 ",vanilla,blueberry|blueberry|blueberry|blueberry|cream cheese|cream cheese|chocolate|chocolate|strawberry|strawberry
5002005,500200,What kind of container are the flowers in?," vase
Context: A woman at a table working on jars. 
 Question: What is this person making?
 Candidates: pottery (0.9651343916710394),vase (0.9445653002722064),pot (0.8836203391208088),plant (0.0034170468185792547),soup (0.0030826706359506116)
 ",vase,vase|vase|vase|vase|vase|vase|trolley|trolley|pot|pot
3156685,315668,What country does this appear to be?," thailand
Context: A herd of white cows graze in a pasture with rolling hills in the background.
 Question: What country is this?
 Candidates: ireland (0.964847084176902),england (0.6904270416990007),scotland (0.3932412694437093),united state (0.07516413741756452),united kingdom (0.04663341829683674)
 ",england,scotland|scotland|scotland|scotland|scotland|scotland|usa|usa|england|england
3736625,373662,Which of the foods in the picture is best for you to eat when you have a cold?," grilled cheese
Context: A couple of pieces of bread on top of a knife.
 Question: What type of sandwich is this?
 Candidates: grilled cheese (0.9846710693133804),toasted (0.25723616303628044),grilled (0.04697928431791468),ham and cheese (0.02853132876437245),sandwich (0.021410569461620083)
 ",sandwich,soup|soup|soup|soup|soup|soup|chicken soup|chicken soup|fruit|fruit
4293695,429369,What do teenage pranksters do to this animal?," sniff
Context: An elephant pooping while pushing trunks with another elephant.
 Question: What is one thing these animals are rumored to never do?
 Candidates: forget (0.9824965774510569),sleep (0.7487974365343519),jump (0.1755435944917165),talk (0.05813551117903636),drink water (0.028562913653174458)
 ",forget,tip|tip|tip|tip|tip|tip|tip|tip|tip|tip
4273415,427341,How many watts is that microwave?," 60
Context: Bed with black and white covers in front of wall-mounted television
 Question: How many inches is this tv display?
 Candidates: 50 (0.5939061444010093),32 (0.4560920911590956),52 (0.3355143408950761),200 (0.3153453799963798),100 (0.3104356421418824)
 ",60,800|800|800|800|120|120|1000|1000|100|100
