question_id,image_id,question,prediction,prediction_clean,answer_list
2971475,297147,What sport can you use this for?," bicycle
Context: Traffic stopped at an intersection waiting for pedestrians to cross.
 Question: Why are the vehicles stopped?
 Candidates: red light (0.9331844929845527),traffic light (0.6355095713467488),stop light (0.34674705428787034),light (0.04313017915473185),traffic (0.008894293258852654)
 ",motorcycle,race|race|race|race|race|race|motocross|motocross|ride|ride
3397615,339761,Name the type of plant this is?," ollie
Context: A man riding a surfboard on a wave in the ocean.
 Question: What will he get if he falls in the ocean?
 Candidates: wet (0.9901913222350671),water (0.7648628830508278),surf (0.010895958406659106),foam (0.008744276478848085),in water (0.00810276190577116)
 ",ivy,vine|vine|vine|vine|climb|climb|look like some kind of ivy|look like some kind of ivy|ficus|ficus
3575865,357586,What toy is this?," cucumber
Context: An orange and yellow train traveling down tracks.
 Question: What type of train is in the image?
 Candidates: freight (0.9940510518471943),cargo (0.9388724717413646),locomotive (0.30884828059777725),electric (0.010705725224363399),commuter (0.009993528990472615)
 ",stuffed animal,stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|stuffed animal|teddy bear|teddy bear|teddy bear|teddy bear
949225,94922,Which part of this animal would be in use of it was playing the game that is played with the items the man is holding?," jungle
Context: A woman and a girl with umbrellas walk across a puddle.
 Question: What is the weather like?
 Candidates: rain (0.9834294960996932),rainy (0.9223357658778856),sunny (0.00902784415164703),hazy (0.0039375423953048804),it rain (0.0031665750624492294)
 ",arm,mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth|mouth
2076115,207611,What could this gentleman be carrying in that red bag?," processed
Context: An array of different vegetables is prepared for cooking.
 Question: When would i use this?
 Candidates: dinner (0.9424576078741006),cook (0.900627150955621),kitchen (0.8397166883003312),never (0.4629716839622375),lunch (0.0690945089100324)
 ",money,cloth|cloth|cloth|cloth|food|food|lunch|lunch|shoe|shoe
5723996,572399,Who leaves a toilet like this?," surfboard
Context: A street sign and a tree in front of a brick wall. 
 Question: What kind of sign is in the picture?
 Candidates: street sign (0.9829678441156762),street (0.8665780843215113),road (0.6147579138020526),street name (0.08864715190118078),direct (0.01153543841178032)
 ",people,man|man|man|man|man|man|men|men|men|men
5759705,575970,A center affixed unit like this one in a kitchen is called a what?," mid evil europe
Context: There is a sandwich that has bacon and some chips on the side
 Question: How is this meal made?
 Candidates: grilled (0.9395649575322085),bake (0.19404464909386057),toasted (0.09805585230011911),baked (0.026276649224933047),fry (0.024471661661291787)
 ",island,island|island|island|island|island|island|island|island|island|island
3045575,304557,Why might someone go to this place?," sunrise
Context: A bedroom with a bay window and a large bed 
 Question: What do you call this type of window covering?
 Candidates: blind (0.9222969887771617),shade (0.6960289118128737),curtain (0.1259216889239428),sunscreen (0.008683949785883658),glass (0.0021841833392509274)
 ",shop,shop|shop|shop|shop|nyc|nyc|shop|shop|business|business
2183655,218365,What does this grow from?," wool
Context: A neon motion light on a black surface.
 Question: What is the job title of the person who uses that tool?
 Candidates: barber (0.020054805722806157),plumber (0.015248449816336872),engineer (0.012481921265303697),doctor (0.011774391108658104),firemen (0.009213904886807204)
 ",flower,ground|ground|ground|ground|plant|plant|hibiscus plant stem|hibiscus plant stem|root|root
2863135,286313,What is that man doing with the bat?," isuzu
Context: a coupe of people that are skateboarding on a ramp
 Question: Which city is the given sport originated from?
 Candidates: los angeles (0.9245072805014198),philadelphia (0.8257382357454767),la (0.4034573057953827),detroit (0.1312630798658871),miami (0.04846396557092845)
 ",hit ball,swing|swing|swing|swing|swing|swing|hit|hit|try to hit hte ball|try to hit hte ball
299845,29984,Is this at a salt water beach or a lake?," washington
Context: A photo of two tour buses parked in front of a building.
 Question: What style of architecture is pictured in this photo?
 Candidates: gothic (0.968986060719466),victorian (0.782718136171577),roman (0.39053042009776323),greek (0.1385277299378208),classic (0.06496276289046576)
 ",both,salt water beach|salt water beach|salt water beach|salt water beach|salt water|salt water|lake|lake|beach|beach
115115,11511,Who designed the statues?," iron
Context: A group of people standing next to horses on a beach.
 Question: What is the best way to ride one of these?
 Candidates: saddle (0.9660066749033971),gallop (0.06583816032732108),rein (0.045685795146011114),stair (0.006543820149620363),horse (0.005960780453473133)
 ",woman,artist|artist|artist|artist|guell|guell|toscano|toscano|aritect|aritect
3234605,323460,What is the name of the items the hot dog are topped with?," 767 mph
Context: A red couch with two cats curled up on top of a blanket.
 Question: What is on the wall behind the couch?
 Candidates: map (0.9932341018354466),mirror (0.0015365463562304095),2 (0.0011434288667570933),decoration (0.0008354770695410776),graffiti (0.0007569736867613437)
 ",pickle,condiment|condiment|condiment|condiment|onion relish|onion relish|vegetable|vegetable|relish|relish
5169165,516916,What is this desk used for?," run
Context: A woman sitting before a pasta dish on a table with water bottles and utensils.
 Question: The dish before you is good for which parts of the body?
 Candidates: stomach (0.9699957978019718),heart (0.5911924545231424),muscle (0.4066525890182221),arm (0.13058206722864776),brain (0.10498929958713564)
 ",work,work|work|work|work|compute|compute|work|work|office|office
217115,21711,What type of bike is on the ground?," trailer
Context: there is a small piece of cake on a ring
 Question: In france what would this food be called?
 Candidates: dessert (0.6275802957625836),desert (0.009387502712213308),fruit (0.008507658090635535),pie (0.005217402628468732),red (0.0025342348730338564)
 ",dirt bike,bmx|bmx|bmx|bmx|bicycle|bicycle|bicycle|bicycle|10 speed|10 speed
3133865,313386,What type of plane is that?," wetsuit
Context: A sandwich on a white plate with a side of salad. 
 Question: What meal is this?
 Candidates: sandwich (0.9868762402713182),lunch (0.8766491749642726),burger (0.00801849981076543),breakfast (0.004279774974266149),bread (0.002633471852408855)
 ",boeing,commercial|commercial|commercial|commercial|passenger|passenger|quanta|quanta|md 80|md 80
4026395,402639,Is this a room for a boy or girl?," puma
Context: A cardinal is sitting on the branch of an apple tree.
 Question: What kind of bird is this?
 Candidates: cardinal (0.9957823718437371),tomato (0.008356596435174139),robin (0.007716488978460398),red (0.006966925432411494),bird (0.0007812629780545075)
 ",girl,girl|girl|girl|girl|girl|girl|girl|girl|girl|girl
4575845,457584,In what year was this desert first introduced?," zoo
Context: A blue and yellow train is parallel to a line of cars on a rural highway at the foot of a large hill.
 Question: What sort of animals would enjoy grazing on this mountainside?
 Candidates: goat (0.9408506396779236),sheep (0.5157900754011818),cow (0.05279644397003038),buffalo (0.03672990866856726),horse (0.025097720768857284)
 ",1903,1847|1847|1847|1847|1860|1860|1934|1934|1900s|1900s
4883775,488377,What is this surf trick called?," little bow peep
Context: A red panda with one paw on log and other paw holding food to mouth.
 Question: What animal is pictured?
 Candidates: fox (0.31239472698481047),bear (0.2878817350853403),panda (0.008612176201944842),cat (0.0024268390419133826),street (0.0020331628439405843)
 ",kickflip,ride|ride|ride|ride|tube ride|tube ride|ollie|ollie|wave runner|wave runner
3017535,301753,What do they call running around the bases on a single hit?," nestle
Context: Woman standing in front of a swimming pool with parrots on her shoulder.
 Question: What historical figure are these type of birds associated with?
 Candidates: pirate (0.9930373783691926),human (0.8684942981467689),0 (0.014751514847387919),parrot (0.01425935592848069),tourist (0.010929345499485172)
 ",home run,homerun|homerun|homerun|homerun|homerun|homerun|home run|home run|home run|home run
1833195,183319,Why is this plugged in?," photoshop
Context: A skillet with a plate full of noodles and vegetables.
 Question: How many calories in this dish?
 Candidates: 500 (0.8729922648701823),600 (0.7808330103652849),350 (0.7416151261937579),400 (0.2776939010016784),300 (0.2021743028503069)
 ",computer,charge|charge|charge|charge|to have power and work|to have power and work|power|power|outlet|outlet
3970635,397063,What is the shape?," indian
Context: A cat laying on the floor next to a toy banana.
 Question: What animal is pictured?
 Candidates: cat (0.999725367858272),dog (0.005080531081559627),car (0.003806039724285766),calico (0.002591988793026781),feline (0.00171474439188128)
 ",round,circle|circle|circle|circle|circle|circle|round|round|round|round
